url_path,views_total,views_unique
/Inria-NERV/happyFeat,7,6
/Inria-NERV/happyFeat/tree/main/happyfeat,6,2
/Inria-NERV/happyFeat/blob/main/happyfeat/templates-mixed-bcinet/sc2-train-composite.xml,5,2
/Inria-NERV/happyFeat/tree/main/docs,3,2
/Inria-NERV/happyFeat/tree/main,2,2
/Inria-NERV/happyFeat/tree/main/happyfeat/templates-mixed-bcinet,2,2
/Inria-NERV/happyFeat/blob/main/happyfeat/bcipipeline_setup.py,1,1
/Inria-NERV/happyFeat/blob/main/happyfeat/featureExtractionInterface.py,1,1
/Inria-NERV/happyFeat/blob/main/happyfeat/templates-connectivity/sc1-monitor-acq.xml,1,1
/Inria-NERV/happyFeat/blob/main/happyfeat/templates-connectivity/sc2-train-composite.xml,1,1
