time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-15 00:00:00+00:00,15,7,1,1
2026-02-16 00:00:00+00:00,15,7,1,1
2026-02-17 00:00:00+00:00,13,5,1,1
2026-02-18 00:00:00+00:00,29,10,2,2
2026-02-19 00:00:00+00:00,8,4,0,0
2026-02-20 00:00:00+00:00,6,2,0,0
2026-02-21 00:00:00+00:00,13,8,0,0
2026-02-22 00:00:00+00:00,8,4,1,1
2026-02-23 00:00:00+00:00,9,5,2,1
2026-02-24 00:00:00+00:00,14,6,0,0
2026-02-25 00:00:00+00:00,9,5,7,1
2026-02-26 00:00:00+00:00,9,5,0,0
2026-02-27 00:00:00+00:00,4,4,0,0
2026-02-28 00:00:00+00:00,4,4,0,0
