time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-22 00:00:00+00:00,3,3,1,1
2026-07-23 00:00:00+00:00,18,9,0,0
2026-07-24 00:00:00+00:00,3,3,1,1
2026-07-25 00:00:00+00:00,2,2,1,1
2026-07-26 00:00:00+00:00,9,4,0,0
2026-07-27 00:00:00+00:00,17,8,0,0
2026-07-28 00:00:00+00:00,23,14,5,5
2026-07-29 00:00:00+00:00,9,4,2,1
2026-07-30 00:00:00+00:00,7,2,0,0
2026-07-31 00:00:00+00:00,9,4,16,1
2026-08-01 00:00:00+00:00,15,6,0,0
2026-08-02 00:00:00+00:00,14,5,0,0
2026-08-03 00:00:00+00:00,2,2,4,1
2026-08-04 00:00:00+00:00,21,12,0,0
