time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,6,5,36,1
2026-09-11 00:00:00+00:00,2,2,8,3
2026-09-12 00:00:00+00:00,19,4,0,0
2026-09-13 00:00:00+00:00,20,10,0,0
2026-09-14 00:00:00+00:00,4,4,0,0
2026-09-15 00:00:00+00:00,6,6,8,4
2026-09-16 00:00:00+00:00,12,7,2,2
2026-09-17 00:00:00+00:00,1,1,0,0
2026-09-18 00:00:00+00:00,2,2,14,1
2026-09-19 00:00:00+00:00,1,1,0,0
2026-09-20 00:00:00+00:00,17,8,1,1
2026-09-21 00:00:00+00:00,1,1,4,4
2026-09-22 00:00:00+00:00,43,18,10,6
2026-09-23 00:00:00+00:00,25,11,1,1
