time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-03 00:00:00+00:00,16,6,1,1
2026-07-04 00:00:00+00:00,20,11,0,0
2026-07-05 00:00:00+00:00,20,6,0,0
2026-07-06 00:00:00+00:00,19,5,0,0
2026-07-07 00:00:00+00:00,19,9,1,1
2026-07-08 00:00:00+00:00,15,6,0,0
2026-07-09 00:00:00+00:00,16,6,2,1
2026-07-10 00:00:00+00:00,4,4,0,0
2026-07-11 00:00:00+00:00,34,11,0,0
2026-07-12 00:00:00+00:00,9,4,0,0
2026-07-13 00:00:00+00:00,10,5,0,0
2026-07-14 00:00:00+00:00,24,11,0,0
2026-07-15 00:00:00+00:00,16,7,0,0
2026-07-16 00:00:00+00:00,19,7,0,0
