time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-04 00:00:00+00:00,4,2,,
2025-11-05 00:00:00+00:00,7,4,1.0,1.0
2025-11-06 00:00:00+00:00,3,3,2.0,2.0
2025-11-07 00:00:00+00:00,17,6,1.0,1.0
2025-11-08 00:00:00+00:00,5,4,,
2025-11-09 00:00:00+00:00,3,2,,
2025-11-10 00:00:00+00:00,12,6,,
2025-11-11 00:00:00+00:00,17,7,,
2025-11-12 00:00:00+00:00,3,2,2.0,2.0
2025-11-13 00:00:00+00:00,11,5,1.0,1.0
2025-11-14 00:00:00+00:00,9,4,,
2025-11-15 00:00:00+00:00,3,3,,
2025-11-16 00:00:00+00:00,4,4,,
2025-11-17 00:00:00+00:00,1,1,,
