time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-16 00:00:00+00:00,5,5,3,1
2026-01-17 00:00:00+00:00,7,3,0,0
2026-01-18 00:00:00+00:00,9,5,0,0
2026-01-19 00:00:00+00:00,13,5,9,3
2026-01-20 00:00:00+00:00,7,3,13,2
2026-01-21 00:00:00+00:00,16,8,15,2
2026-01-22 00:00:00+00:00,16,8,0,0
2026-01-23 00:00:00+00:00,12,8,11,1
2026-01-24 00:00:00+00:00,15,7,0,0
2026-01-25 00:00:00+00:00,3,3,0,0
2026-01-26 00:00:00+00:00,7,3,40,2
2026-01-27 00:00:00+00:00,15,7,2,2
2026-01-28 00:00:00+00:00,14,6,0,0
2026-01-29 00:00:00+00:00,9,5,1,1
