time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-10 00:00:00+00:00,3,3,,
2025-12-11 00:00:00+00:00,12,8,1.0,1.0
2025-12-12 00:00:00+00:00,8,4,,
2025-12-13 00:00:00+00:00,13,8,,
2025-12-14 00:00:00+00:00,2,2,2.0,1.0
2025-12-15 00:00:00+00:00,8,4,1.0,1.0
2025-12-16 00:00:00+00:00,8,4,,
2025-12-17 00:00:00+00:00,14,10,3.0,1.0
2025-12-18 00:00:00+00:00,4,4,1.0,1.0
2025-12-19 00:00:00+00:00,2,2,1.0,1.0
2025-12-20 00:00:00+00:00,3,3,,
2025-12-21 00:00:00+00:00,9,5,,
2025-12-22 00:00:00+00:00,6,6,11.0,1.0
2025-12-23 00:00:00+00:00,1,1,12.0,1.0
