time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-20 00:00:00+00:00,1,1,3.0,1.0
2025-01-21 00:00:00+00:00,7,3,9.0,5.0
2025-01-22 00:00:00+00:00,3,1,1.0,1.0
2025-01-23 00:00:00+00:00,12,6,,
2025-01-25 00:00:00+00:00,2,2,,
2025-01-26 00:00:00+00:00,1,1,,
2025-01-27 00:00:00+00:00,8,4,4.0,2.0
2025-01-28 00:00:00+00:00,4,3,5.0,1.0
2025-01-29 00:00:00+00:00,2,2,,
2025-01-30 00:00:00+00:00,19,6,17.0,1.0
2025-01-31 00:00:00+00:00,2,2,,
2025-02-01 00:00:00+00:00,4,2,,
2025-02-02 00:00:00+00:00,1,1,,
