time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-15 00:00:00+00:00,16,8,0,0
2026-03-16 00:00:00+00:00,10,6,0,0
2026-03-17 00:00:00+00:00,3,3,2,2
2026-03-18 00:00:00+00:00,8,4,12,6
2026-03-19 00:00:00+00:00,15,6,0,0
2026-03-20 00:00:00+00:00,2,2,0,0
2026-03-21 00:00:00+00:00,8,4,0,0
2026-03-22 00:00:00+00:00,1,1,0,0
2026-03-23 00:00:00+00:00,12,8,0,0
2026-03-24 00:00:00+00:00,17,5,21,3
2026-03-25 00:00:00+00:00,22,9,14,2
2026-03-26 00:00:00+00:00,10,8,6,1
2026-03-27 00:00:00+00:00,7,3,5,2
2026-03-28 00:00:00+00:00,11,6,1,1
