url_path,views_total,views_unique
/Inria-NERV/happyFeat,20,8
/Inria-NERV/happyFeat/tree/main/happyfeat,5,2
/Inria-NERV/happyFeat/tree/main/happyfeat/lib,4,2
/Inria-NERV/happyFeat/blob/main/happyfeat/featureExtractionInterface.py,4,1
/Inria-NERV/happyFeat/actions/runs/12932388482/usage,2,2
/Inria-NERV/happyFeat/blob/main/requirements.txt,2,2
/Inria-NERV/happyFeat/blob/main/.readthedocs.yaml,2,1
/Inria-NERV/happyFeat/blob/main/happyfeat/bcipipeline_setup.py,2,1
/Inria-NERV/happyFeat/tree/main/docs,2,1
/Inria-NERV/happyFeat/blob/main/.github/workflows/github-repo-stats.yml,1,1
