time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-11 00:00:00+00:00,1,1,,
2023-09-19 00:00:00+00:00,12,7,,
2023-09-20 00:00:00+00:00,7,5,4.0,1.0
